"Titel","Original Titel","Autor(en)","Sprache","ISBN","DDR Lizenznummer"
"Nation",,"Terry Pratchett","englisch","978-0-385-61370-5",
"Monstrous Regiment",,"Terry Pratchett","englisch","0-385-60340-1",
"Der Zeitdieb","The Thief of Time","Terry Pratchett","deutsch","3-442-54528-5",
"Einmal Rupert und zurück","Mostly Harmless","Douglas Adams","deutsch","3-453-08230-3",
"Weihnachten und andere Katastrophen",,"diverse","deutsch","978-3-548-60875-4",
"The Amazing Maurice and His Educated Rodents",,"Terry Pratchett","englisch","0-385-60123-9",
"Der fünfte Elefant","The Fifth Elephant","Terry Pratchett","deutsch","3-442-54509-9",
"Die volle Wahrheit","The Truth","Terry Pratchett","deutsch","3-442-54518-8",
"Wolfsherz",,"Wolfgang Hohlbein","deutsch","3-7857-0890-4",
"Die Saga von Garth und Torian",,"Wolfgang Hohlbein","deutsch","3-442-23682-7",
"Märchenmonds Erben",,"Wolfgang Hohlbein, Heike Hohlbein","deutsch","978-3-8000-2558-9",
"Eric","Eric","Terry Pratchett","deutsch","3-453-06234-5",
"Drachentahl - Das Spiegelkabinett",,"Wolfgang Hohlbein, Heike Hohlbein","deutsch","3-8000-5042-0",
"Die Nacht des Drachen",,"Wolfgang Hohlbein","deutsch","3-8000-2537-X",
"Drachenfeuer",,"Wolfgang Hohlbein, Heike Hohlbein","deutsch","978-3-8000-2539-8",
"Valhalla",,"Tom Holt","englisch","1-84149-042-3",
"Die schönen Mütter anderer Töchter",,"Mirjam Müntefering","deutsch","3-404-14557-7",
"Das Gegenteil von Schokolade",,"Mirjam Müntefering","deutsch","3-404-14854-1",
"Flug ins Apricot",,"Mirjam Müntefering","deutsch","3-492-23802-5",
"Apricot im Herzen",,"Mirjam Müntefering","deutsch","978-3-85286-085-5",
"Steingesicht",,"Karen-Susan Fessel","deutsch","978-3-7891-3505-7",
"Empress of the World",,"Sara Ryan","englisch","0-14-250059-3",
"Einfach nur Liebe - Sandra liebt Meike",,"Marliese Arnold","deutsch","3-596-80341-1",
"Du bist mein Geheimnis","Keeping You A Secret","Julie Anne Peters","deutsch","3-423-78200-5",
"Annie on My Mind",,"Nancy Garden","englisch","0-374-40414-3",
"Das Blau ihrer Augen",,"Katrin Janitz","deutsch","978-3-8965-6114-5",
"...total verknallt in Anne","S. P. Likes A. D.","Cathrine Brett","deutsch","3-423-78092-4",
"Liebe ist, was du draus machst",,"Patricia Schröder","deutsch","3-401-04860-0",
"Hunter's Way",,"Gerri Hill","englisch","978-1-59493-018-8",
"The Target",,"Gerri Hill","englisch","978-1-594930-82-9",
