"Titel","Original Titel","Autor(en)","Sprache","ISBN","DDR Lizenznummer"
"Charity: Dunkel ist die Zukunft",,"Wolfgang Hohlbein","deutsch","3-404-23098-1",
"Charity: Die Königin der Rebellen",,"Wolfgang Hohlbein","deutsch","3-404-23100-7",
"Charity: Überfall auf Skytown",,"Wolfgang Hohlbein","deutsch","3-404-23207-0",
"Charity: Die schlafende Armee",,"Wolfgang Hohlbein","deutsch","3-404-23104-X",
"Charity: Hölle aus Feuer und Eis",,"Wolfgang Hohlbein","deutsch","3-404-23106-6",
"Harry Potter and the Deathly Hallows",,"J. K. Rowling","englisch","978-0-7475-9105-4",
"Harry Potter and the Half-Blood Prince",,"J. K. Rowling","englisch","0-7475-8108-8",
"Drei lustige Gesellen - Erstes Buch","Naksitrallid","Eno Raud","deutsch",,
"Drei lustige Gesellen - Zweites Buch","Naksitrallid, Teine raamat","Eno Raud","deutsch",,
"Drei lustige Gesellen - Drittes Buch","Jälle need naksitrallid, Esimene raamat","Eno Raud","deutsch",,
"Drei lustige Gesellen - Viertes Buch","Jälle need naksitrallid, Teine raamat","Eno Raud","deutsch",,
"A Series of Unfortunate Events: The Bad Beginning",,"Lemony Snicket","englisch","0-06-440766-7",
"Märchenmond",,"Wolfgang Hohlbein, Heike Hohlbein","deutsch","3-453-13720-5",
"Harry Potter and the Sorcerer's Stone",,"J. K. Rowling","englisch","0-590-35342-X",
"Harry Potter and the Order of the Phoenix",,"J. K. Rowling","englisch","0-7475-7072-8",
"Harry Potter and the Goblet of Fire",,"J. K. Rowling","englisch","0-7475-5099-9",
"Die Geschichte des großen Ringkrieges: Der Hobbit / Der Herr der Ringe","The Hobbit / The Lord of the Rings","J. R. R. Tolkien","deutsch","3-608-93320-4",
"Ein gutes Omen","Good Omens","Terry Pratchett, Neil Gaiman","deutsch","3-453-12677-7",
"You Don't Have To Be Evil To Work Here, But It Helps",,"Tom Holt","englisch","978-1-84149-284-1",
"Der ganze Wahnsinn",,"Terry Pratchett","deutsch","978-3-492-70155-6",
"Und übrigens noch was...","And Another Thing...","Eoin Colfer","deutsch","978-3-453-26640-7",
"Buffy the Vampire Slayer Staffel 8, Band 1: Die Rückkehr der Jägerin","Buffy the Vampire Slayer Season Eight Vol. 1: The Long Way Home","Joss Whedon","deutsch","978-3-866-07477-4",
"Die Gelehrten der Scheibenwelt","The Science of Discworld","Terry Pratchett, Ian Stewart, Jack Cohen","deutsch","3-453-17330-9",
"Einfache Fahrt",,"Anne Sell","deutsch","3-89656-067-0",
"Unseen Academicals",,"Terry Pratchett","englisch","978-0-3856-0934-0",
